lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.001000000000  0.16755  0.16346  0.01177  0.09
0.000100000000  0.000749894209  0.16080  0.15853  0.02702  0.24
0.000100000000  0.000562341325  0.15060  0.15094  0.05616  0.51
0.000100000000  0.000421696503  0.13809  0.14150  0.09822  0.85
0.000100000000  0.000316227766  0.12661  0.13282  0.14051  1.20
0.000100000000  0.000237137371  0.11697  0.12548  0.17860  1.61
0.000100000000  0.000177827941  0.10917  0.11967  0.20991  2.03
0.000100000000  0.000133352143  0.10257  0.11478  0.23757  2.38
0.000100000000  0.000100000000  0.09661  0.11033  0.26421  2.80
0.000100000000  0.000074989421  0.09106  0.10633  0.28901  3.42
0.000100000000  0.000056234133  0.08557  0.10282  0.31147  4.35
0.000100000000  0.000042169650  0.07971  0.10013  0.32899  5.78
0.000100000000  0.000031622777  0.07258  0.09860  0.33875  8.15
0.000100000000  0.000023713737  0.06375  0.09851  0.33876  12.04
0.000100000000  0.000017782794  0.05386  0.09986  0.32911  17.49
0.000100000000  0.000013335214  0.04395  0.10250  0.31072  24.19
0.000100000000  0.000010000000  0.03489  0.10623  0.28473  31.66
0.000100000000  0.000007498942  0.02758  0.11046  0.25532  39.74
0.000100000000  0.000005623413  0.02082  0.11594  0.21753  51.91
0.000100000000  0.000004216965  0.01790  0.11916  0.19458  66.27
0.000100000000  0.000003162278  0.01726  0.11967  0.19198  75.87
0.000100000000  0.000002371374  0.01691  0.12015  0.18804  83.30
0.000100000000  0.000001778279  0.01502  0.12253  0.17162  89.81
0.000100000000  0.000001333521  0.01456  0.12324  0.16722  93.78
0.000100000000  0.000001000000  0.01449  0.12358  0.16514  96.03
0.000069519280  0.001000000000  0.16695  0.16294  0.01323  0.05
0.000069519280  0.000749894209  0.16080  0.15852  0.02702  0.25
0.000069519280  0.000562341325  0.15061  0.15095  0.05610  0.52
0.000069519280  0.000421696503  0.13808  0.14150  0.09824  0.85
0.000069519280  0.000316227766  0.12661  0.13283  0.14048  1.20
0.000069519280  0.000237137371  0.11697  0.12549  0.17859  1.62
0.000069519280  0.000177827941  0.10917  0.11967  0.20992  2.04
0.000069519280  0.000133352143  0.10257  0.11479  0.23756  2.38
0.000069519280  0.000100000000  0.09661  0.11033  0.26418  2.80
0.000069519280  0.000074989421  0.09106  0.10633  0.28900  3.42
0.000069519280  0.000056234133  0.08557  0.10282  0.31147  4.36
0.000069519280  0.000042169650  0.07971  0.10013  0.32899  5.79
0.000069519280  0.000031622777  0.07258  0.09860  0.33875  8.15
0.000069519280  0.000023713737  0.06375  0.09851  0.33877  12.04
0.000069519280  0.000017782794  0.05386  0.09986  0.32911  17.49
0.000069519280  0.000013335214  0.04395  0.10250  0.31072  24.19
0.000069519280  0.000010000000  0.03489  0.10623  0.28473  31.66
0.000069519280  0.000007498942  0.02747  0.11054  0.25473  39.68
0.000069519280  0.000005623413  0.02090  0.11588  0.21793  51.85
0.000069519280  0.000004216965  0.01798  0.11893  0.19621  65.65
0.000069519280  0.000003162278  0.01775  0.11925  0.19487  75.73
0.000069519280  0.000002371374  0.01629  0.12096  0.18206  83.75
