Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
    0    0.174357773    0   0
   10    0.133770223    0   0
   20    0.131175790    0   0
   30    0.130138330    0   0
   40    0.129449955    0   0
   50    0.128910920    0   0
   60    0.128463421    0   0
   70    0.128081070    0   0
   80    0.127749106    0   0
   90    0.127457788    0   0
  100    0.127198746    0   0
  110    0.126966596    0   0
  120    0.126757701    0   0
  130    0.126568047    0   0
  140    0.126395004    0   0
  150    0.126236199    0   0
  160    0.126090136    0   0
  170    0.125955195    0   0
  180    0.125830352    0   0
  190    0.125714231    0   0
  200    0.125606198    0   0
  210    0.125505394    0   0
  220    0.125411103    0   0
  230    0.125322577    0   0
  240    0.125239055    0   0
  250    0.125160148    0   0
  260    0.125085599    0   0
  270    0.125014958    0   0
  280    0.124947817    0   0
  290    0.124884071    0   0
  300    0.124823458    0   0
  310    0.124765673    0   0
  320    0.124710592    0   0
  330    0.124658102    0   0
  340    0.124608035    0   0
  350    0.124560196    0   0
  360    0.124514392    0   0
  370    0.124470632    0   0
  380    0.124428722    0   0
  390    0.124388553    0   0
  400    0.124350007    0   0
  410    0.124312971    0   0
  420    0.124277386    0   0
  430    0.124243179    0   0
  440    0.124210218    0   0
  450    0.124178483    0   0
  460    0.124147902    0   0
  470    0.124118417    0   0
  480    0.124089926    0   0
  490    0.124062428    0   0
  500    0.124035852    0   0
  510    0.124010164    0   0
  520    0.123985363    0   0
  530    0.123961383    0   0
  540    0.123938216    0   0
  550    0.123915797    0   0
  560    0.123894073    0   0
  570    0.123872995    0   0
  580    0.123852567    0   0
  590    0.123832758    0   0
  600    0.123813566    0   0
  610    0.123794980    0   0
  620    0.123776940    0   0
  630    0.123759433    0   0
  640    0.123742446    0   0
  650    0.123725974    0   0
  660    0.123709949    0   0
  670    0.123694381    0   0
  680    0.123679260    0   0
  690    0.123664569    0   0
  700    0.123650296    0   0
  710    0.123636416    0   0
  720    0.123622901    0   0
  730    0.123609757    0   0
  740    0.123596979    0   0
  750    0.123584557    0   0
  760    0.123572466    0   0
  770    0.123560696    0   0
  780    0.123549236    0   0
  790    0.123538066    0   0
  800    0.123527185    0   0
  810    0.123516583    0   0
  820    0.123506250    0   0
  830    0.123496159    1   0
Solution converged in 839 iterations with final
