lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.09901  0.11018  0.26694  2.32
0.000100000000  0.000074989421  0.09510  0.10715  0.28512  2.67
0.000100000000  0.000056234133  0.09095  0.10398  0.30503  3.14
0.000100000000  0.000042169650  0.08701  0.10138  0.32169  3.78
0.000100000000  0.000031622777  0.08306  0.09952  0.33361  4.74
0.000100000000  0.000023713737  0.07866  0.09862  0.33922  6.13
0.000100000000  0.000017782794  0.07369  0.09882  0.33743  8.13
0.000100000000  0.000013335214  0.06847  0.10014  0.32824  10.67
0.000100000000  0.000010000000  0.06349  0.10243  0.31262  13.51
0.000100000000  0.000007498942  0.05913  0.10543  0.29219  16.38
0.000100000000  0.000005623413  0.05557  0.10885  0.26884  19.07
0.000100000000  0.000004216965  0.05281  0.11239  0.24452  21.45
0.000100000000  0.000003162278  0.05073  0.11586  0.22062  23.42
0.000100000000  0.000002371374  0.04922  0.11907  0.19845  24.99
0.000100000000  0.000001778279  0.04813  0.12190  0.17883  26.25
0.000100000000  0.000001333521  0.04736  0.12431  0.16209  27.24
0.000100000000  0.000001000000  0.04680  0.12630  0.14822  27.99
0.000100000000  0.000000749894  0.04641  0.12791  0.13696  28.58
0.000100000000  0.000000562341  0.04612  0.12919  0.12799  29.01
0.000100000000  0.000000421697  0.04592  0.13020  0.12093  29.33
0.000100000000  0.000000316228  0.04577  0.13098  0.11544  29.56
0.000100000000  0.000000237137  0.04566  0.13158  0.11125  29.73
0.000100000000  0.000000177828  0.04558  0.13204  0.10804  29.85
0.000100000000  0.000000133352  0.04552  0.13239  0.10558  29.94
0.000100000000  0.000000100000  0.04547  0.13266  0.10370  30.01
0.000069519280  0.000100000000  0.09731  0.10914  0.27506  1.93
0.000069519280  0.000074989421  0.09471  0.10717  0.28589  2.84
0.000069519280  0.000056234133  0.09088  0.10419  0.30411  3.19
0.000069519280  0.000042169650  0.08699  0.10153  0.32096  3.80
0.000069519280  0.000031622777  0.08304  0.09961  0.33319  4.74
0.000069519280  0.000023713737  0.07866  0.09867  0.33898  6.13
0.000069519280  0.000017782794  0.07369  0.09885  0.33727  8.12
0.000069519280  0.000013335214  0.06847  0.10016  0.32812  10.66
0.000069519280  0.000010000000  0.06348  0.10245  0.31252  13.51
0.000069519280  0.000007498942  0.05913  0.10545  0.29210  16.38
0.000069519280  0.000005623413  0.05557  0.10886  0.26878  19.07
0.000069519280  0.000004216965  0.05281  0.11240  0.24446  21.44
0.000069519280  0.000003162278  0.05073  0.11587  0.22059  23.42
0.000069519280  0.000002371374  0.04922  0.11908  0.19842  25.00
0.000069519280  0.000001778279  0.04813  0.12191  0.17879  26.25
0.000069519280  0.000001333521  0.04736  0.12431  0.16205  27.23
0.000069519280  0.000001000000  0.04680  0.12630  0.14818  27.99
0.000069519280  0.000000749894  0.04641  0.12792  0.13692  28.57
0.000069519280  0.000000562341  0.04612  0.12920  0.12795  29.01
0.000069519280  0.000000421697  0.04592  0.13020  0.12090  29.33
0.000069519280  0.000000316228  0.04577  0.13098  0.11545  29.57
0.000069519280  0.000000237137  0.04566  0.13159  0.11122  29.73
0.000069519280  0.000000177828  0.04558  0.13204  0.10800  29.85
0.000069519280  0.000000133352  0.04552  0.13239  0.10554  29.94
0.000069519280  0.000000100000  0.04547  0.13266  0.10366  30.01
0.000048329302  0.000100000000  0.09731  0.10914  0.27506  1.93
0.000048329302  0.000074989421  0.09471  0.10717  0.28588  2.84
0.000048329302  0.000056234133  0.09088  0.10419  0.30411  3.18
0.000048329302  0.000042169650  0.08699  0.10153  0.32095  3.80
0.000048329302  0.000031622777  0.08304  0.09961  0.33319  4.74
0.000048329302  0.000023713737  0.07866  0.09867  0.33897  6.13
0.000048329302  0.000017782794  0.07369  0.09885  0.33726  8.12
0.000048329302  0.000013335214  0.06847  0.10016  0.32812  10.66
0.000048329302  0.000010000000  0.06348  0.10245  0.31251  13.51
0.000048329302  0.000007498942  0.05913  0.10545  0.29210  16.38
0.000048329302  0.000005623413  0.05557  0.10886  0.26878  19.07
0.000048329302  0.000004216965  0.05281  0.11240  0.24446  21.44
0.000048329302  0.000003162278  0.05073  0.11587  0.22059  23.42
0.000048329302  0.000002371374  0.04922  0.11908  0.19841  24.99
0.000048329302  0.000001778279  0.04813  0.12191  0.17879  26.25
0.000048329302  0.000001333521  0.04736  0.12431  0.16205  27.23
0.000048329302  0.000001000000  0.04680  0.12630  0.14818  27.99
0.000048329302  0.000000749894  0.04641  0.12792  0.13692  28.58
0.000048329302  0.000000562341  0.04612  0.12920  0.12795  29.01
0.000048329302  0.000000421697  0.04592  0.13020  0.12090  29.33
0.000048329302  0.000000316228  0.04577  0.13098  0.11545  29.57
0.000048329302  0.000000237137  0.04566  0.13159  0.11122  29.73
0.000048329302  0.000000177828  0.04558  0.13204  0.10800  29.85
0.000048329302  0.000000133352  0.04552  0.13239  0.10554  29.94
0.000048329302  0.000000100000  0.04547  0.13266  0.10366  30.01
0.000033598183  0.000100000000  0.09731  0.10914  0.27506  1.93
0.000033598183  0.000074989421  0.09471  0.10717  0.28588  2.84
0.000033598183  0.000056234133  0.09088  0.10419  0.30410  3.18
0.000033598183  0.000042169650  0.08699  0.10153  0.32095  3.80
0.000033598183  0.000031622777  0.08304  0.09961  0.33319  4.74
0.000033598183  0.000023713737  0.07866  0.09867  0.33897  6.13
0.000033598183  0.000017782794  0.07369  0.09885  0.33726  8.12
0.000033598183  0.000013335214  0.06847  0.10016  0.32811  10.66
0.000033598183  0.000010000000  0.06348  0.10245  0.31251  13.51
0.000033598183  0.000007498942  0.05913  0.10545  0.29210  16.38
0.000033598183  0.000005623413  0.05557  0.10886  0.26878  19.07
0.000033598183  0.000004216965  0.05281  0.11240  0.24445  21.44
0.000033598183  0.000003162278  0.05073  0.11587  0.22059  23.42
0.000033598183  0.000002371374  0.04922  0.11908  0.19841  25.00
0.000033598183  0.000001778279  0.04813  0.12191  0.17879  26.25
0.000033598183  0.000001333521  0.04736  0.12431  0.16205  27.23
0.000033598183  0.000001000000  0.04680  0.12630  0.14818  27.99
0.000033598183  0.000000749894  0.04641  0.12792  0.13692  28.58
0.000033598183  0.000000562341  0.04612  0.12920  0.12795  29.01
0.000033598183  0.000000421697  0.04592  0.13020  0.12090  29.33
0.000033598183  0.000000316228  0.04577  0.13098  0.11545  29.57
0.000033598183  0.000000237137  0.04566  0.13159  0.11122  29.73
0.000033598183  0.000000177828  0.04558  0.13204  0.10800  29.85
0.000033598183  0.000000133352  0.04552  0.13239  0.10554  29.94
0.000033598183  0.000000100000  0.04547  0.13266  0.10366  30.01
0.000023357215  0.000100000000  0.09731  0.10914  0.27506  1.93
0.000023357215  0.000074989421  0.09471  0.10717  0.28588  2.84
0.000023357215  0.000056234133  0.09088  0.10419  0.30410  3.18
0.000023357215  0.000042169650  0.08699  0.10153  0.32095  3.80
0.000023357215  0.000031622777  0.08304  0.09961  0.33319  4.74
0.000023357215  0.000023713737  0.07866  0.09867  0.33897  6.13
0.000023357215  0.000017782794  0.07369  0.09885  0.33726  8.12
0.000023357215  0.000013335214  0.06847  0.10016  0.32811  10.66
0.000023357215  0.000010000000  0.06348  0.10245  0.31251  13.51
0.000023357215  0.000007498942  0.05913  0.10545  0.29210  16.38
0.000023357215  0.000005623413  0.05557  0.10886  0.26878  19.07
0.000023357215  0.000004216965  0.05281  0.11240  0.24445  21.44
0.000023357215  0.000003162278  0.05073  0.11587  0.22059  23.42
0.000023357215  0.000002371374  0.04922  0.11908  0.19841  25.00
0.000023357215  0.000001778279  0.04813  0.12191  0.17879  26.25
0.000023357215  0.000001333521  0.04736  0.12431  0.16205  27.23
0.000023357215  0.000001000000  0.04680  0.12630  0.14818  27.99
0.000023357215  0.000000749894  0.04641  0.12792  0.13692  28.58
0.000023357215  0.000000562341  0.04612  0.12920  0.12795  29.01
0.000023357215  0.000000421697  0.04592  0.13020  0.12090  29.33
0.000023357215  0.000000316228  0.04577  0.13098  0.11545  29.57
0.000023357215  0.000000237137  0.04566  0.13159  0.11122  29.73
0.000023357215  0.000000177828  0.04558  0.13204  0.10800  29.85
0.000023357215  0.000000133352  0.04552  0.13239  0.10554  29.94
0.000023357215  0.000000100000  0.04547  0.13266  0.10366  30.01
0.000016237767  0.000100000000  0.09729  0.10913  0.27511  1.93
0.000016237767  0.000074989421  0.09470  0.10716  0.28594  2.84
0.000016237767  0.000056234133  0.09086  0.10418  0.30417  3.18
0.000016237767  0.000042169650  0.08698  0.10152  0.32099  3.79
0.000016237767  0.000031622777  0.08304  0.09961  0.33319  4.73
0.000016237767  0.000023713737  0.07866  0.09867  0.33897  6.13
0.000016237767  0.000017782794  0.07369  0.09885  0.33726  8.12
0.000016237767  0.000013335214  0.06847  0.10016  0.32811  10.66
0.000016237767  0.000010000000  0.06348  0.10245  0.31251  13.51
0.000016237767  0.000007498942  0.05913  0.10545  0.29210  16.38
0.000016237767  0.000005623413  0.05557  0.10886  0.26878  19.07
0.000016237767  0.000004216965  0.05281  0.11240  0.24445  21.44
0.000016237767  0.000003162278  0.05073  0.11587  0.22059  23.42
0.000016237767  0.000002371374  0.04922  0.11908  0.19841  24.99
0.000016237767  0.000001778279  0.04813  0.12191  0.17879  26.25
0.000016237767  0.000001333521  0.04736  0.12431  0.16205  27.23
0.000016237767  0.000001000000  0.04680  0.12630  0.14818  27.99
0.000016237767  0.000000749894  0.04641  0.12792  0.13692  28.58
0.000016237767  0.000000562341  0.04612  0.12920  0.12795  29.01
0.000016237767  0.000000421697  0.04592  0.13020  0.12090  29.33
0.000016237767  0.000000316228  0.04577  0.13098  0.11545  29.57
0.000016237767  0.000000237137  0.04566  0.13159  0.11122  29.73
0.000016237767  0.000000177828  0.04558  0.13204  0.10800  29.85
0.000016237767  0.000000133352  0.04552  0.13239  0.10554  29.94
0.000016237767  0.000000100000  0.04547  0.13266  0.10366  30.01
0.000011288379  0.000100000000  0.09727  0.10910  0.27522  1.93
0.000011288379  0.000074989421  0.09467  0.10713  0.28606  2.84
0.000011288379  0.000056234133  0.09085  0.10415  0.30430  3.18
0.000011288379  0.000042169650  0.08696  0.10149  0.32116  3.79
0.000011288379  0.000031622777  0.08302  0.09958  0.33334  4.73
0.000011288379  0.000023713737  0.07865  0.09866  0.33903  6.12
0.000011288379  0.000017782794  0.07368  0.09885  0.33727  8.11
0.000011288379  0.000013335214  0.06846  0.10016  0.32808  10.66
0.000011288379  0.000010000000  0.06349  0.10245  0.31250  13.51
0.000011288379  0.000007498942  0.05913  0.10545  0.29209  16.38
0.000011288379  0.000005623413  0.05557  0.10886  0.26877  19.07
