Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
    0    0.174357773    0   0
   10    0.172149855    0   0
   20    0.170987465    0   0
   30    0.170279613    0   0
   40    0.169792619    0   0
   50    0.169422195    0   0
   60    0.169121057    0   0
   70    0.168867181    0   0
   80    0.168645726    0   0
   90    0.168449876    0   0
  100    0.168275158    0   0
  110    0.168117286    0   0
  120    0.167973317    0   0
  130    0.167841117    0   0
  140    0.167720112    0   0
  150    0.167609320    0   0
  160    0.167508419    0   0
  170    0.167415314    0   0
  180    0.167328813    0   0
  190    0.167248046    0   0
  200    0.167172753    0   0
  210    0.167102265    0   0
  220    0.167036293    0   0
  230    0.166974759    0   0
  240    0.166917087    0   0
  250    0.166863095    0   0
  260    0.166812225    0   0
  270    0.166764125    0   0
  280    0.166718507    0   0
  290    0.166675210    0   0
  300    0.166634489    0   0
  310    0.166596014    0   0
  320    0.166559457    0   0
  330    0.166524777    0   0
  340    0.166491933    0   0
  350    0.166460882    0   0
  360    0.166431434    0   0
  370    0.166403264    0   0
  380    0.166376447    0   0
  390    0.166351072    0   0
  400    0.166326793    0   0
  410    0.166303577    0   0
  420    0.166281345    0   0
  430    0.166260134    0   0
  440    0.166240067    0   0
  450    0.166221095    0   0
  460    0.166203111    0   0
  470    0.166185899    0   0
  480    0.166169377    0   0
  490    0.166153569    0   0
  500    0.166138436    0   0
  510    0.166123936    0   0
  520    0.166110064    0   0
  530    0.166096780    0   0
  540    0.166083977    0   0
  550    0.166071627    0   0
  560    0.166059708    0   0
  570    0.166048233    0   0
  580    0.166037167    0   0
  590    0.166026559    0   0
  600    0.166016317    0   0
  610    0.166006420    8   0
Solution converged in 612 iterations with final
                                            objective=0.166004479, slow progress with global relative
                                            objective=0.000000969<=1e-06 for 10 non-consecutive
                                            iterations
  612    0.166004479    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324559e-05
Iter    objective   convergence_count   no_progress_count
    0    0.163203178    0   0
   10    0.163075618    0   0
   20    0.162970248    0   0
   30    0.162880713    0   0
   40    0.162803205    0   0
   50    0.162735271    0   0
   60    0.162675161    0   0
   70    0.162621562    0   0
   80    0.162573477    0   0
   90    0.162530090    0   0
  100    0.162490724    0   0
  110    0.162454808    0   0
  120    0.162421884    0   0
  130    0.162391617    0   0
  140    0.162363719    0   0
  150    0.162337951    0   0
  160    0.162314014    0   0
  170    0.162291695    0   0
  180    0.162270884    0   0
  190    0.162251436    0   0
  200    0.162233209    0   0
  210    0.162216088    0   0
  220    0.162199965    0   0
  230    0.162184730    0   0
  240    0.162170324    0   0
  250    0.162156692    0   0
  260    0.162143812    0   0
  270    0.162131616    0   0
  280    0.162120052    0   0
  290    0.162109123    0   0
  300    0.162098719    0   0
  310    0.162088796    7   0
Solution converged in 313 iterations with final
                                            objective=0.162085909, slow progress with global relative
                                            objective=0.000000958<=1e-06 for 10 non-consecutive
                                            iterations
  313    0.162085909    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.623413251903491e-05
Iter    objective   convergence_count   no_progress_count
    0    0.158751188    0   0
   10    0.158602050    0   0
   20    0.158479174    0   0
   30    0.158375081    0   0
   40    0.158285203    0   0
   50    0.158206544    0   0
   60    0.158136983    0   0
   70    0.158074930    0   0
   80    0.158019143    0   0
   90    0.157968718    0   0
  100    0.157922838    0   0
  110    0.157880894    0   0
  120    0.157842369    0   0
  130    0.157806889    0   0
  140    0.157774062    0   0
  150    0.157743647    0   0
  160    0.157715318    0   0
  170    0.157688880    0   0
  180    0.157664231    0   0
  190    0.157641162    0   0
  200    0.157619476    0   0
  210    0.157599083    0   0
  220    0.157579872    0   0
  230    0.157561724    0   0
  240    0.157544566    0   0
  250    0.157528352    0   0
  260    0.157513011    0   0
  270    0.157498457    0   0
  280    0.157484646    0   0
  290    0.157471517    0   0
  300    0.157459026    0   0
  310    0.157447145    0   0
  320    0.157435826    0   0
  330    0.157425041    0   0
  340    0.157414740    0   0
  350    0.157404893    8   0
Solution converged in 352 iterations with final
                                            objective=0.157402978, slow progress with global relative
                                            objective=0.000000955<=1e-06 for 10 non-consecutive
                                            iterations
  352    0.157402978    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 4.216965034285822e-05
Iter    objective   convergence_count   no_progress_count
    0    0.153493740    0   0
   10    0.153336561    0   0
   20    0.153209156    0   0
   30    0.153102518    0   0
   40    0.153011273    0   0
   50    0.152931923    0   0
   60    0.152862108    0   0
   70    0.152800023    0   0
   80    0.152744259    0   0
   90    0.152693789    0   0
  100    0.152647846    0   0
  110    0.152605749    0   0
  120    0.152567003    0   0
  130    0.152531248    0   0
  140    0.152498193    0   0
  150    0.152467442    0   0
  160    0.152438735    0   0
  170    0.152411885    0   0
  180    0.152386714    0   0
  190    0.152363118    0   0
  200    0.152340924    0   0
  210    0.152320012    0   0
  220    0.152300279    0   0
  230    0.152281606    0   0
  240    0.152263929    0   0
  250    0.152247152    0   0
  260    0.152231221    0   0
  270    0.152216096    0   0
  280    0.152201723    0   0
  290    0.152188062    0   0
  300    0.152175048    0   0
  310    0.152162637    0   0
  320    0.152150792    0   0
  330    0.152139469    0   0
  340    0.152128658    0   0
  350    0.152118310    0   0
  360    0.152108402    7   0
Solution converged in 363 iterations with final
                                            objective=0.152105512, slow progress with global relative
                                            objective=0.000000959<=1e-06 for 10 non-consecutive
                                            iterations
  363    0.152105512    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 3.1622776601683795e-05
Iter    objective   convergence_count   no_progress_count
    0    0.147719976    0   0
   10    0.147567816    0   0
   20    0.147447073    0   0
   30    0.147347187    0   0
   40    0.147262356    0   0
   50    0.147188837    0   0
   60    0.147124102    0   0
   70    0.147066488    0   0
   80    0.147014704    0   0
   90    0.146967736    0   0
  100    0.146924824    0   0
  110    0.146885460    0   0
  120    0.146849170    0   0
  130    0.146815560    0   0
  140    0.146784298    0   0
  150    0.146755139    0   0
  160    0.146727848    0   0
  170    0.146702232    0   0
  180    0.146678157    0   0
  190    0.146655467    0   0
  200    0.146634042    0   0
  210    0.146613833    0   0
  220    0.146594691    0   0
  230    0.146576518    0   0
  240    0.146559243    0   0
  250    0.146542807    0   0
  260    0.146527149    0   0
  270    0.146512212    0   0
  280    0.146497981    0   0
  290    0.146484415    0   0
  300    0.146471466    0   0
  310    0.146459097    0   0
  320    0.146447267    0   0
  330    0.146435923    0   0
  340    0.146425057    0   0
  350    0.146414631    0   0
  360    0.146404626    5   0
Solution converged in 365 iterations with final
                                            objective=0.146399777, slow progress with global relative
                                            objective=0.000000961<=1e-06 for 10 non-consecutive
                                            iterations
  365    0.146399777    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 2.3713737056616554e-05
Iter    objective   convergence_count   no_progress_count
    0    0.141758636    0   0
   10    0.141609546    0   0
   20    0.141494484    0   0
   30    0.141400608    0   0
   40    0.141321340    0   0
   50    0.141252776    0   0
   60    0.141192433    0   0
   70    0.141138636    0   0
   80    0.141090191    0   0
   90    0.141046265    0   0
  100    0.141006127    0   0
  110    0.140969263    0   0
  120    0.140935239    0   0
  130    0.140903663    0   0
  140    0.140874197    0   0
  150    0.140846618    0   0
  160    0.140820759    0   0
  170    0.140796445    0   0
  180    0.140773551    0   0
  190    0.140751958    0   0
  200    0.140731558    0   0
  210    0.140712265    0   0
  220    0.140693977    0   0
  230    0.140676596    0   0
  240    0.140660051    0   0
  250    0.140644269    0   0
  260    0.140629240    0   0
  270    0.140614903    0   0
  280    0.140601216    0   0
  290    0.140588135    0   0
  300    0.140575626    0   0
  310    0.140563652    0   0
  320    0.140552193    0   0
  330    0.140541210    0   0
  340    0.140530687    0   0
  350    0.140520611    3   0
Solution converged in 357 iterations with final
                                            objective=0.140513796, slow progress with global relative
                                            objective=0.000000962<=1e-06 for 10 non-consecutive
                                            iterations
  357    0.140513796    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1.778279410038923e-05
Iter    objective   convergence_count   no_progress_count
    0    0.135763987    0   0
   10    0.135621310    0   0
   20    0.135513537    0   0
   30    0.135426345    0   0
   40    0.135353079    0   0
   50    0.135289862    0   0
   60    0.135234179    0   0
   70    0.135184453    0   0
   80    0.135139586    0   0
   90    0.135098687    0   0
  100    0.135061143    0   0
  110    0.135026481    0   0
  120    0.134994309    0   0
  130    0.134964283    0   0
  140    0.134936228    0   0
  150    0.134909929    0   0
  160    0.134885260    0   0
  170    0.134862065    0   0
  180    0.134840198    0   0
  190    0.134819545    0   0
  200    0.134799988    0   0
  210    0.134781442    0   0
  220    0.134763842    0   0
  230    0.134747112    0   0
  240    0.134731183    0   0
  250    0.134715998    0   0
  260    0.134701511    0   0
  270    0.134687674    0   0
  280    0.134674442    0   0
  290    0.134661771    0   0
  300    0.134649622    0   0
  310    0.134637978    0   0
  320    0.134626815    0   0
  330    0.134616097    0   0
  340    0.134605802    0   0
  350    0.134595917    8   0
Solution converged in 352 iterations with final
                                            objective=0.134593986, slow progress with global relative
                                            objective=0.000000964<=1e-06 for 10 non-consecutive
                                            iterations
  352    0.134593986    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1.333521432163324e-05
Iter    objective   convergence_count   no_progress_count
    0    0.129888997    0   0
   10    0.129761389    0   0
   20    0.129666698    0   0
   30    0.129590704    0   0
   40    0.129526896    0   0
   50    0.129471737    0   0
   60    0.129423058    0   0
   70    0.129379478    0   0
   80    0.129340016    0   0
   90    0.129303975    0   0
  100    0.129270847    0   0
  110    0.129240190    0   0
  120    0.129211706    0   0
  130    0.129185108    0   0
  140    0.129160184    0   0
  150    0.129136765    0   0
  160    0.129114678    0   0
  170    0.129093799    0   0
  180    0.129074041    0   0
  190    0.129055298    0   0
  200    0.129037472    0   0
  210    0.129020497    0   0
  220    0.129004306    0   0
  230    0.128988851    0   0
  240    0.128974084    0   0
  250    0.128959969    0   0
  260    0.128946471    0   0
  270    0.128933538    0   0
  280    0.128921127    0   0
  290    0.128909210    0   0
  300    0.128897764    0   0
  310    0.128886774    0   0
  320    0.128876203    0   0
  330    0.128866032    1   0
Solution converged in 339 iterations with final
                                            objective=0.128857200, slow progress with global relative
                                            objective=0.000000968<=1e-06 for 10 non-consecutive
                                            iterations
  339    0.128857200    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1e-05
Iter    objective   convergence_count   no_progress_count
    0    0.124367855    0   0
   10    0.124254393    0   0
   20    0.124171111    0   0
   30    0.124104548    0   0
   40    0.124048671    0   0
   50    0.124000205    0   0
   60    0.123957337    0   0
   70    0.123918831    0   0
   80    0.123883841    0   0
   90    0.123851799    0   0
  100    0.123822199    0   0
  110    0.123794715    0   0
  120    0.123769074    0   0
  130    0.123745025    0   0
  140    0.123722403    0   0
  150    0.123701065    0   0
  160    0.123680894    0   0
  170    0.123661776    0   0
  180    0.123643616    0   0
  190    0.123626332    0   0
  200    0.123609859    0   0
  210    0.123594137    0   0
  220    0.123579103    0   0
  230    0.123564711    0   0
  240    0.123550918    0   0
  250    0.123537692    0   0
  260    0.123524997    0   0
  270    0.123512793    0   0
  280    0.123501044    0   0
  290    0.123489739    0   0
  300    0.123478846    0   0
  310    0.123468329    0   0
  320    0.123458175    1   0
Solution converged in 329 iterations with final
                                            objective=0.123449328, slow progress with global relative
                                            objective=0.000000970<=1e-06 for 10 non-consecutive
                                            iterations
  329    0.123449328    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324558e-06
Iter    objective   convergence_count   no_progress_count
    0    0.119264672    0   0
   10    0.119166015    0   0
   20    0.119093487    0   0
   30    0.119035144    0   0
   40    0.118985733    0   0
   50    0.118942547    0   0
   60    0.118904046    0   0
   70    0.118869219    0   0
   80    0.118837369    0   0
   90    0.118807979    0   0
  100    0.118780680    0   0
  110    0.118755200    0   0
  120    0.118731296    0   0
  130    0.118708779    0   0
  140    0.118687512    0   0
  150    0.118667364    0   0
  160    0.118648213    0   0
  170    0.118629986    0   0
  180    0.118612602    0   0
  190    0.118595995    0   0
  200    0.118580099    0   0
  210    0.118564861    0   0
  220    0.118550240    0   0
  230    0.118536179    0   0
  240    0.118522641    0   0
  250    0.118509599    0   0
  260    0.118497026    0   0
  270    0.118484892    0   0
  280    0.118473173    0   0
  290    0.118461864    0   0
  300    0.118450940    0   0
  310    0.118440370    0   0
  320    0.118430132    0   0
  330    0.118420214    8   0
Solution converged in 332 iterations with final
                                            objective=0.118418268, slow progress with global relative
                                            objective=0.000000972<=1e-06 for 10 non-consecutive
                                            iterations
  332    0.118418268    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.623413251903491e-06
Iter    objective   convergence_count   no_progress_count
    0    0.114583983    0   0
   10    0.114501301    0   0
   20    0.114439908    0   0
   30    0.114389817    0   0
   40    0.114346815    0   0
   50    0.114308827    0   0
   60    0.114274568    0   0
   70    0.114243257    0   0
   80    0.114214342    0   0
   90    0.114187438    0   0
  100    0.114162251    0   0
  110    0.114138572    0   0
  120    0.114116222    0   0
  130    0.114095039    0   0
  140    0.114074909    0   0
  150    0.114055724    0   0
  160    0.114037396    0   0
  170    0.114019851    0   0
  180    0.114003019    0   0
  190    0.113986853    0   0
  200    0.113971308    0   0
  210    0.113956343    0   0
  220    0.113941920    0   0
  230    0.113928002    0   0
  240    0.113914554    0   0
  250    0.113901550    0   0
  260    0.113888974    0   0
  270    0.113876814    0   0
  280    0.113865032    0   0
  290    0.113853609    0   0
  300    0.113842533    0   0
  310    0.113831782    0   0
  320    0.113821344    0   0
  330    0.113811201    0   0
Solution converged in 340 iterations with final
                                            objective=0.113801336, slow progress with global relative
                                            objective=0.000000974<=1e-06 for 10 non-consecutive
                                            iterations
  340    0.113801336    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 4.216965034285822e-06
Iter    objective   convergence_count   no_progress_count
    0    0.110337243    0   0
   10    0.110267090    0   0
   20    0.110214236    0   0
   30    0.110170386    0   0
   40    0.110132133    0   0
   50    0.110097800    0   0
   60    0.110066430    0   0
   70    0.110037398    0   0
   80    0.110010307    0   0
   90    0.109984856    0   0
  100    0.109960817    0   0
  110    0.109938025    0   0
  120    0.109916354    0   0
  130    0.109895691    0   0
  140    0.109875936    0   0
  150    0.109857015    0   0
  160    0.109838861    0   0
  170    0.109821405    0   0
  180    0.109804593    0   0
  190    0.109788378    0   0
  200    0.109772729    0   0
  210    0.109757607    0   0
  220    0.109742984    0   0
  230    0.109728825    0   0
  240    0.109715113    0   0
  250    0.109701822    0   0
  260    0.109688929    0   0
  270    0.109676421    0   0
  280    0.109664276    0   0
  290    0.109652475    0   0
  300    0.109641004    0   0
  310    0.109629853    0   0
  320    0.109619009    0   0
  330    0.109608454    0   0
  340    0.109598176    0   0
  350    0.109588168    5   0
Solution converged in 355 iterations with final
                                            objective=0.109583264, slow progress with global relative
                                            objective=0.000000976<=1e-06 for 10 non-consecutive
                                            iterations
  355    0.109583264    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 3.162277660168379e-06
Iter    objective   convergence_count   no_progress_count
    0    0.106464122    0   0
   10    0.106402591    0   0
   20    0.106355039    0   0
   30    0.106314689    0   0
   40    0.106278863    0   0
   50    0.106246254    0   0
   60    0.106216098    0   0
   70    0.106187920    0   0
   80    0.106161385    0   0
   90    0.106136268    0   0
  100    0.106112394    0   0
  110    0.106089617    0   0
  120    0.106067837    0   0
  130    0.106046954    0   0
  140    0.106026888    0   0
  150    0.106007578    0   0
  160    0.105988979    0   0
  170    0.105971038    0   0
  180    0.105953712    0   0
  190    0.105936968    0   0
  200    0.105920771    0   0
  210    0.105905092    0   0
  220    0.105889902    0   0
  230    0.105875176    0   0
  240    0.105860901    0   0
  250    0.105847044    0   0
  260    0.105833585    0   0
  270    0.105820517    0   0
  280    0.105807822    0   0
  290    0.105795482    0   0
  300    0.105783478    0   0
  310    0.105771800    0   0
  320    0.105760431    0   0
  330    0.105749360    0   0
  340    0.105738574    0   0
  350    0.105728070    0   0
  360    0.105717836    0   0
  370    0.105707861    6   0
Solution converged in 374 iterations with final
                                            objective=0.105703942, slow progress with global relative
                                            objective=0.000000976<=1e-06 for 10 non-consecutive
                                            iterations
  374    0.105703942    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 2.3713737056616552e-06
Iter    objective   convergence_count   no_progress_count
    0    0.102868105    0   0
   10    0.102812607    0   0
   20    0.102768171    0   0
   30    0.102729478    0   0
   40    0.102694470    0   0
   50    0.102662140    0   0
   60    0.102631908    0   0
   70    0.102603410    0   0
   80    0.102576394    0   0
   90    0.102550686    0   0
  100    0.102526137    0   0
  110    0.102502631    0   0
  120    0.102480075    0   0
  130    0.102458394    0   0
  140    0.102437521    0   0
  150    0.102417400    0   0
  160    0.102397985    0   0
  170    0.102379228    0   0
  180    0.102361092    0   0
  190    0.102343544    0   0
  200    0.102326558    0   0
  210    0.102310102    0   0
  220    0.102294151    0   0
  230    0.102278678    0   0
  240    0.102263663    0   0
  250    0.102249091    0   0
  260    0.102234939    0   0
