lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.15481  0.15278  0.06306  0.05
0.000100000000  0.000074989421  0.14876  0.14799  0.08496  0.08
0.000100000000  0.000056234133  0.14178  0.14232  0.11181  0.12
0.000100000000  0.000042169650  0.13457  0.13637  0.14057  0.17
0.000100000000  0.000031622777  0.12785  0.13062  0.16907  0.23
0.000100000000  0.000023713737  0.12153  0.12508  0.19731  0.33
0.000100000000  0.000017782794  0.11578  0.11991  0.22395  0.43
0.000100000000  0.000013335214  0.11091  0.11554  0.24708  0.57
0.000100000000  0.000010000000  0.10672  0.11190  0.26686  0.74
0.000100000000  0.000007498942  0.10308  0.10884  0.28369  0.92
0.000100000000  0.000005623413  0.09994  0.10634  0.29748  1.15
0.000100000000  0.000004216965  0.09707  0.10427  0.30896  1.42
0.000100000000  0.000003162278  0.09426  0.10244  0.31909  1.79
0.000100000000  0.000002371374  0.09136  0.10084  0.32788  2.29
0.000100000000  0.000001778279  0.08822  0.09951  0.33514  3.01
0.000100000000  0.000001333521  0.08467  0.09853  0.34046  4.01
0.000100000000  0.000001000000  0.08052  0.09805  0.34270  5.45
0.000100000000  0.000000749894  0.07576  0.09830  0.34028  7.45
0.000100000000  0.000000562341  0.07061  0.09943  0.33219  9.94
0.000100000000  0.000000421697  0.06553  0.10145  0.31821  12.73
0.000100000000  0.000000316228  0.06094  0.10419  0.29948  15.62
0.000100000000  0.000000237137  0.05706  0.10742  0.27742  18.35
0.000100000000  0.000000177828  0.05396  0.11090  0.25362  20.79
0.000100000000  0.000000133352  0.05159  0.11439  0.22961  22.87
0.000100000000  0.000000100000  0.04984  0.11771  0.20677  24.56
0.000069519280  0.000100000000  0.15362  0.15159  0.07097  0.06
0.000069519280  0.000074989421  0.14863  0.14777  0.08741  0.08
0.000069519280  0.000056234133  0.14175  0.14224  0.11285  0.12
0.000069519280  0.000042169650  0.13456  0.13634  0.14102  0.17
0.000069519280  0.000031622777  0.12784  0.13062  0.16923  0.23
0.000069519280  0.000023713737  0.12152  0.12508  0.19737  0.33
0.000069519280  0.000017782794  0.11578  0.11990  0.22399  0.43
0.000069519280  0.000013335214  0.11091  0.11554  0.24709  0.57
0.000069519280  0.000010000000  0.10672  0.11190  0.26684  0.74
0.000069519280  0.000007498942  0.10308  0.10884  0.28366  0.92
0.000069519280  0.000005623413  0.09994  0.10634  0.29747  1.15
0.000069519280  0.000004216965  0.09707  0.10427  0.30893  1.42
0.000069519280  0.000003162278  0.09426  0.10244  0.31908  1.79
0.000069519280  0.000002371374  0.09136  0.10084  0.32787  2.29
0.000069519280  0.000001778279  0.08823  0.09952  0.33513  3.01
0.000069519280  0.000001333521  0.08467  0.09853  0.34045  4.01
0.000069519280  0.000001000000  0.08052  0.09805  0.34269  5.45
0.000069519280  0.000000749894  0.07576  0.09830  0.34028  7.45
0.000069519280  0.000000562341  0.07061  0.09943  0.33218  9.94
0.000069519280  0.000000421697  0.06554  0.10145  0.31822  12.73
0.000069519280  0.000000316228  0.06094  0.10419  0.29948  15.62
0.000069519280  0.000000237137  0.05705  0.10742  0.27740  18.35
0.000069519280  0.000000177828  0.05396  0.11089  0.25363  20.79
0.000069519280  0.000000133352  0.05159  0.11439  0.22962  22.87
